metric,community_id,legend_label,profile_variant,window_tag,bar_value,n_users_community_variant
F,0,P0@W1·Base（灰）,baseline,W1,0.4525202446,100
F,0,P1@W2·GPT-4o-mini,gpt4o_mini,W2,0.41325816,100
F,0,P1@W2·Base,baseline,W2,0.4164929565,100
F,0,P1@W2·Clasp（DPO）,clasp_dpo,W2,0.4509855678,100
F,1,P0@W1·Base（灰）,baseline,W1,0.444298071,100
F,1,P1@W2·GPT-4o-mini,gpt4o_mini,W2,0.4579015729,100
F,1,P1@W2·Base,baseline,W2,0.4620879406,100
F,1,P1@W2·Clasp（DPO）,clasp_dpo,W2,0.4980405119,100
F,3,P0@W1·Base（灰）,baseline,W1,0.4634688868,100
F,3,P1@W2·GPT-4o-mini,gpt4o_mini,W2,0.4666905932,100
F,3,P1@W2·Base,baseline,W2,0.4628118141,100
F,3,P1@W2·Clasp（DPO）,clasp_dpo,W2,0.494209478,100
F,4,P0@W1·Base（灰）,baseline,W1,0.4322706066,100
F,4,P1@W2·GPT-4o-mini,gpt4o_mini,W2,0.4540592596,100
F,4,P1@W2·Base,baseline,W2,0.4567349171,100
F,4,P1@W2·Clasp（DPO）,clasp_dpo,W2,0.479768194,100
F,6,P0@W1·Base（灰）,baseline,W1,0.4457814817,100
F,6,P1@W2·GPT-4o-mini,gpt4o_mini,W2,0.4670304441,100
F,6,P1@W2·Base,baseline,W2,0.4701052845,100
F,6,P1@W2·Clasp（DPO）,clasp_dpo,W2,0.4969907294,100
F,7,P0@W1·Base（灰）,baseline,W1,0.4489535373,100
F,7,P1@W2·GPT-4o-mini,gpt4o_mini,W2,0.4832263117,100
F,7,P1@W2·Base,baseline,W2,0.4802110463,100
F,7,P1@W2·Clasp（DPO）,clasp_dpo,W2,0.516588809,100
L,0,P0@W1·Base（灰）,baseline,W1,0.1880294022,100
L,0,P1@W2·GPT-4o-mini,gpt4o_mini,W2,0.1793005808,100
L,0,P1@W2·Base,baseline,W2,0.180787316,100
L,0,P1@W2·Clasp（DPO）,clasp_dpo,W2,0.1970119936,100
L,1,P0@W1·Base（灰）,baseline,W1,0.1972094575,100
L,1,P1@W2·GPT-4o-mini,gpt4o_mini,W2,0.2019246621,100
L,1,P1@W2·Base,baseline,W2,0.2092154094,100
L,1,P1@W2·Clasp（DPO）,clasp_dpo,W2,0.2325688346,100
L,3,P0@W1·Base（灰）,baseline,W1,0.2068514794,100
L,3,P1@W2·GPT-4o-mini,gpt4o_mini,W2,0.2052318678,100
L,3,P1@W2·Base,baseline,W2,0.2075181264,100
L,3,P1@W2·Clasp（DPO）,clasp_dpo,W2,0.2303386603,100
L,4,P0@W1·Base（灰）,baseline,W1,0.1811801939,100
L,4,P1@W2·GPT-4o-mini,gpt4o_mini,W2,0.1916221589,100
L,4,P1@W2·Base,baseline,W2,0.186783189,100
L,4,P1@W2·Clasp（DPO）,clasp_dpo,W2,0.2014039548,100
L,6,P0@W1·Base（灰）,baseline,W1,0.1688321369,100
L,6,P1@W2·GPT-4o-mini,gpt4o_mini,W2,0.1793124253,100
L,6,P1@W2·Base,baseline,W2,0.1800515841,100
L,6,P1@W2·Clasp（DPO）,clasp_dpo,W2,0.2030372476,100
L,7,P0@W1·Base（灰）,baseline,W1,0.3327063247,100
L,7,P1@W2·GPT-4o-mini,gpt4o_mini,W2,0.324191449,100
L,7,P1@W2·Base,baseline,W2,0.3171464949,100
L,7,P1@W2·Clasp（DPO）,clasp_dpo,W2,0.3541708733,100
Q,0,P0@W1·Base（灰）,baseline,W1,0.3491564822,100
Q,0,P1@W2·GPT-4o-mini,gpt4o_mini,W2,0.3226913202,100
Q,0,P1@W2·Base,baseline,W2,0.3250965961,100
Q,0,P1@W2·Clasp（DPO）,clasp_dpo,W2,0.3475296866,100
Q,1,P0@W1·Base（灰）,baseline,W1,0.3491178276,100
Q,1,P1@W2·GPT-4o-mini,gpt4o_mini,W2,0.3603429548,100
Q,1,P1@W2·Base,baseline,W2,0.367158934,100
Q,1,P1@W2·Clasp（DPO）,clasp_dpo,W2,0.3909927245,100
Q,3,P0@W1·Base（灰）,baseline,W1,0.3659168053,100
Q,3,P1@W2·GPT-4o-mini,gpt4o_mini,W2,0.3679731415,100
Q,3,P1@W2·Base,baseline,W2,0.3666955014,100
Q,3,P1@W2·Clasp（DPO）,clasp_dpo,W2,0.3870546178,100
Q,4,P0@W1·Base（灰）,baseline,W1,0.3353106272,100
Q,4,P1@W2·GPT-4o-mini,gpt4o_mini,W2,0.3526447442,100
Q,4,P1@W2·Base,baseline,W2,0.3517413124,100
Q,4,P1@W2·Clasp（DPO）,clasp_dpo,W2,0.3672644716,100
Q,6,P0@W1·Base（灰）,baseline,W1,0.3370000946,100
Q,6,P1@W2·GPT-4o-mini,gpt4o_mini,W2,0.3568173857,100
Q,6,P1@W2·Base,baseline,W2,0.3593992078,100
Q,6,P1@W2·Clasp（DPO）,clasp_dpo,W2,0.3776608743,100
Q,7,P0@W1·Base（灰）,baseline,W1,0.406034115,100
Q,7,P1@W2·GPT-4o-mini,gpt4o_mini,W2,0.4237768946,100
Q,7,P1@W2·Base,baseline,W2,0.4188020588,100
Q,7,P1@W2·Clasp（DPO）,clasp_dpo,W2,0.448939534,100
